TP_FAIXA_ETARIA;TP_SEXO;TP_ESTADO_CIVIL;TP_COR_RACA;TP_NACIONALIDADE;TP_ST_CONCLUSAO;TP_ANO_CONCLUIU;TP_ENSINO;NO_MUNICIPIO_ESC;SG_UF_ESC;TP_DEPENDENCIA_ADM_ESC;TP_LOCALIZACAO_ESC;NO_MUNICIPIO_PROVA;SG_UF_PROVA;TP_PRESENCA_CN;TP_PRESENCA_CH;TP_PRESENCA_LC;TP_PRESENCA_MT;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;TX_RESPOSTAS_CN;TX_RESPOSTAS_CH;TX_RESPOSTAS_LC;TX_RESPOSTAS_MT;TP_LINGUA;TX_GABARITO_CN;TX_GABARITO_CH;TX_GABARITO_LC;TX_GABARITO_MT;TP_STATUS_REDACAO;NU_NOTA_COMP1;NU_NOTA_COMP2;NU_NOTA_COMP3;NU_NOTA_COMP4;NU_NOTA_COMP5;NU_NOTA_REDACAO;Q001;Q002;Q003;Q004;Q005;Q006;Q007;Q008;Q009;Q010;Q011;Q012;Q013;Q014;Q015;Q016;Q017;Q018;Q019;Q020;Q021;Q022;Q023;Q024;Q025;TP_PRESENCA_GERAL;NU_DESEMPENHO;NU_MEDIA_GERAL;NU_INFRAESTRUTURA
3;F;1;1;1;2;0;2.0;Niterói;RJ;2.0;1.0;Niterói;RJ;1;1;1;1;409.0;527.0;418.0;416.5;DDABBCCACBCCEDDBBBEBEBCDDCEACDCABBADDCACCDDCB;ACCBCABADAAAADEAECDABCACDBCACDBBADCCABCDEEBCD;BBCDACBCCDCADAAAEBBBDBDBEBBCCBBCCEDCBADBDDAED;CECCDEACDDCBDBCBCBBADDDDCEADCBBABBCDDAEBABCBA;0;DBEABDABDCACDBECDDDBCAAABBACCCADEBECCCEDAEEED;ACEEABAADCDAADEABCDABCDCABCBDADEBAECABADBCDAE;DBABBAEBAAAACDACDEDAACADBADBCCEACCCEAAECBBEBCACEED;BCCDEEABCBEDCEABBEBDABDDADDADECAADDCCBEBEABCC;1.0;120;200;100;140;160;720;C;C;B;B;3;B;A;B;B;A;A;B;A;A;A;A;A;A;B;A;A;B;A;A;B;1;2;498.1;3
2;F;1;1;1;3;0;-1.0;Desconhecido;Desconhecido;-1.0;-1.0;Araçatuba;SP;1;1;1;1;499.5;535.5;549.0;570.5;ECADAEACBDBDABDDEBEBACBBDDECBBCDDBECBDEDCBCBA;DDAADEACCDBCBDCCEBEBCBDDAEDDCBECBCDBAEDDBEBCD;ABBCCEBEAEDDABBBACDBBAACACAEABBEEBBDBDCDADCAC;EABADDBECBCCAEBDEAAEDEAACDABCDCDBDEECDEABDDCA;1;CDDDABBABDBEABDECCEEEDCEDAEBABDCCAACCCADACDBE;DBAADEADCDCABABCDDEBAEABAECABAACECDAECBDAABCD;BBBDAABAEACCEEEDEACBCACAACAACAAAECBBEDBCCADBDEDDAC;EBDADDAEBEACBEDCECCBEABCADEBCCBCCDEBDDAABBADD;1.0;120;120;120;120;80;560;F;F;D;B;3;D;D;C;C;B;C;B;B;B;A;B;A;B;C;A;A;D;B;C;B;1;2;542.9;1
8;M;1;2;1;1;0;-1.0;Desconhecido;Desconhecido;-1.0;-1.0;Cururupu;MA;1;1;1;1;425.2;391.8;446.0;503.5;EDDACBCBBDBAEBDEBBACBEBACBBECCBAAACCCEEACCEDA;DEBDACCBDDBAEBBAECBDDBCDCCDDEABACAEBEBCCEABCE;DBAECCEEADBADEBBDBCECACDBAADCEBDBCCADDBDBEECB;CDEABEBEBABDDDDCBCDABCEBDECBADDCADCBCDBBCDADB;0;CDDDABBABDBEABDECCEEEDCEDAEBABDCCAACCCADACDBE;DBAADEADCDCABABCDDEBAEABAECABAACECDAECBDAABCD;BBBDAABAEACCEEEDEACBCACAACAACAAAECBBEDBCCADBDEDDAC;EBDADDAEBEACBEDCECCBEABCADEBCCBCCDEBDDAABBADD;1.0;80;100;100;100;80;460;D;C;A;A;2;B;A;B;D;A;A;B;A;A;A;A;A;A;B;A;B;D;A;A;B;1;2;445.3;2
12;M;1;1;1;1;16;-1.0;Desconhecido;Desconhecido;-1.0;-1.0;Altinho;PE;1;1;1;1;621.0;584.5;493.0;412.8;DBDABCABDCACCDCDDBCDCEABBBCCBABDBAEBBCEDAEACC;EBEEAAAADCDAAEEEBCEAECCEEBCBDAEABCBCEBADBCAAA;CDEECECABACDCACACEDBCDDECDAEDDEAABBBBBBDEDEED;CEBCACAECCBCEEDBCBABABDCDDEDEBBDCDBADBCCADBBB;1;DBEABDABDCACDBECDDDBCAAABBACCCADEBECCCEDAEEED;ACEEABAADCDAADEABCDABCDCABCBDADEBAECABADBCDAE;DBABBAEBAAAACDACDEDAACADBADBCCEACCCEAAECBBEBCACEED;BCCDEEABCBEDCEABBEBDABDDADDADECAADDCCBEBEABCC;1.0;120;180;160;160;200;820;B;B;A;A;4;C;A;B;C;A;B;B;A;A;A;A;A;A;B;A;A;C;A;B;B;1;2;586.25;2
2;F;1;1;1;2;0;1.0;Itapejara d'Oeste;PR;2.0;1.0;Francisco Beltrão;PR;1;1;1;1;445.0;458.0;457.2;491.5;BDAAABECADABAECBCAADECDEADDDBACCAEBEECBDBDADD;AEADBADDAEBACEECAEBDDEECABBDCCDCDCDEBACCADBDE;EEAEECAADCCDECAADDCAABEBBCEBEDCDADECDAADEBAAB;EEEBEECACEDECDDEDDCBBEBEBDBCEABDBACCADCDCACBD;1;CEDAEEDEECCEBADCCCABBABCAACDDDACDBEABDCDBEABD;ABCDCBDACDAEACEECABADBEABADEBAABCDCABADCDAADE;BDBBABAAAEAAECBBEAACAAACEACBCACCCEDEDADBDBEEDDACCC;EBDEEBDADDABCCBCCABBADDBDDAEAEABCBEDECADCECCB;1.0;80;120;100;100;0;400;B;B;C;B;4;B;A;B;B;A;A;B;A;B;A;A;A;A;B;A;A;C;A;A;B;1;2;450.35;3
11;M;2;3;1;1;11;-1.0;Desconhecido;Desconhecido;-1.0;-1.0;Miracatu;SP;1;1;1;1;617.5;673.0;705.0;724.5;CBDDDEBEDBDEBAEDDAAEBECCECCBBACDDBEAACCDBEEEB;ABCDCBDACDAAACEACABADBBADADEBCEBCDCABADCDAADE;BAAAEAAECBBEAACAAABEACBBAACBEDEDADBDBAEDDACCC;EBDECDDAADECCCBCDABBCDABDDAEACDBABECACEDDEABC;1;CEDAEEDEECCEBADCCCABBABCAACDDDACDBEABDCDBEABD;ABCDCBDACDAEACEECABADBEABADEBAABCDCABADCDAADE;BDBBABAAAEAAECBBEAACAAACEACBCACCCEDEDADBDBEEDDACCC;EBDEEBDADDABCCBCCABBADDBDDAEAEABCBEDECADCECCB;1.0;120;120;120;120;120;600;C;C;A;B;4;E;A;B;C;A;A;B;A;B;A;B;A;B;B;A;A;C;A;B;B;1;1;664.0;2
2;M;1;3;1;2;0;1.0;Matão;SP;3.0;1.0;Matão;SP;1;1;1;1;407.2;583.0;479.5;601.5;CAEBDBDAECBDBDADADABDBCEBDCEBAACBDEBCBEAABEAE;ABCDCBDABDAEACEEAADADADB.DDCBDDCBDBCBDECDCADE;BCDCCCAEBBEEACDBAEC.AEBE.DCDEADDADDBCBDEBECBE;E.DBBB.DDDEACCEDEEBCADBBBD.BDEACAACECCCDBCAEB;0;CEDAEEDEECCEBADCCCABBABCAACDDDACDBEABDCDBEABD;ABCDCBDACDAEACEECABADBEABADEBAABCDCABADCDAADE;BDBBABAAAEAAECBBEAACAAACEACBCACCCEDEDADBDBEEDDACCC;EBDEEBDADDABCCBCCABBADDBDDAEAEABCBEDECADCECCB;1.0;120;180;120;120;120;660;D;E;C;B;3;E;A;C;C;B;B;B;B;B;A;B;A;B;B;A;A;D;B;B;B;1;2;546.25;1
12;F;0;2;1;1;7;-1.0;Desconhecido;Desconhecido;-1.0;-1.0;Campo Grande;MS;1;1;1;1;518.0;630.0;611.0;538.0;CBDAEDDAEEBBBCCCBEBDBECCEABDBBCDACBCECCEBDEBB;ABCDCA*ACDAEADEEAEBEDAEABADEBDABEECDBCDADAADE;BAAEBAAECBBEAACAAACBACCCECCAADEDAECCBEEDDADBC;EEDBEEBACDDAAAACAACCCDBDEEEEABDCBBBBBBBEDABBC;1;CEDAEEDEECCEBADCCCABBABCAACDDDACDBEABDCDBEABD;ABCDCBDACDAEACEECABADBEABADEBAABCDCABADCDAADE;BDBBABAAAEAAECBBEAACAAACEACBCACCCEDEDADBDBEEDDACCC;EBDEEBDADDABCCBCCABBADDBDDAEAEABCBEDECADCECCB;1.0;120;120;120;120;100;580;H;E;F;B;4;C;A;B;C;B;B;B;A;B;A;B;A;B;C;A;A;D;A;A;B;1;2;575.4;1
2;F;1;3;1;2;0;1.0;Marabá;PA;2.0;1.0;Marabá;PA;1;1;1;1;456.0;527.5;517.0;563.5;BBAACEDACEDACDACBDAAECEADDABBDCDEBCAACDEBEADC;ABCDCBDACAAAACDCAEDADBACDEEBBCCBEAACEBDCAEDDB;CBEBCAAECBCEACDEBBBCAABBADCDEDDDCBECBADDAACBE;ECDAEECABDDCCDCDBABEDDACBDCBEBADEBABEAECBDDCA;0;CEDAEEDEECCEBADCCCABBABCAACDDDACDBEABDCDBEABD;ABCDCBDACDAEACEECABADBEABADEBAABCDCABADCDAADE;BDBBABAAAEAAECBBEAACAAACEACBCACCCEDEDADBDBEEDDACCC;EBDEEBDADDABCCBCCABBADDBDDAEAEABCBEDECADCECCB;1.0;160;200;180;200;180;920;E;G;B;D;4;E;A;C;C;B;A;B;A;A;A;A;A;A;B;A;A;C;A;C;B;1;2;596.8;2
3;M;1;3;1;2;0;1.0;Manaus;AM;2.0;1.0;Manaus;AM;1;1;1;1;569.0;458.8;586.5;618.0;DBEAEECCCCDEDBBEEABECECBECCEEAEECBBCCCDDAABBB;ACEEEDAEBCDAAAEBADDCAECADBBDEADDEACDBBBACDCCA;DAABBBBEDACDCDAACAEEADCCEBABCBEDADCBBDBBAAEED;ACECDABBAAEDDAABBEADACADCDDCDDDDDBBECBECEABED;0;DBEABDABDCACDBECDDDBCAAABBACCCADEBECCCEDAEEED;ACEEABAADCDAADEABCDABCDCABCBDADEBAECABADBCDAE;DBABBAEBAAAACDACDEDAACADBADBCCEACCCEAAECBBEBCACEED;BCCDEEABCBEDCEABBEBDABDDADDADECAADDCCBEBEABCC;1.0;120;200;140;160;180;800;E;E;C;B;4;B;A;B;C;A;A;B;A;A;A;A;A;A;A;A;A;B;A;A;A;1;1;606.45;3
3;F;1;1;1;2;0;1.0;São Sebastião do Anta;MG;2.0;1.0;Inhapim;MG;1;1;1;1;514.0;534.5;535.0;394.2;EAEACDAEDDCEBBCCAAAAABBEDEABCBDCACECBDADBEBDA;ABEACCDABDAEEBDEACEDDABABBDDDEDBAACABEEBBAADE;DABBAEABCCBEACCBEDDDACDDBCCAEDBDDCDDBAEDCCADC;CBDBEDDEADDCCDAEADCEDBBDCCAAEEDAAEDACDBEBCBDC;0;CEDAEEDEECCEBADCCCABBABCAACDDDACDBEABDCDBEABD;ABCDCBDACDAEACEECABADBEABADEBAABCDCABADCDAADE;BDBBABAAAEAAECBBEAACAAACEACBCACCCEDEDADBDBEEDDACCC;EBDEEBDADDABCCBCCABBADDBDDAEAEABCBEDECADCECCB;1.0;120;120;120;120;80;560;A;C;A;A;7;B;A;B;C;A;A;B;A;A;A;A;A;A;B;A;A;C;A;A;B;1;2;507.55;3
5;F;0;3;2;1;2;-1.0;Desconhecido;Desconhecido;-1.0;-1.0;São Paulo;SP;1;1;1;1;547.5;568.5;561.5;534.0;DBEBBDCCBABEEBACECBCCADADBDECAACBADCDCBEDBCAD;ACDCEABADCBCADEDBBDABCDCABCBEADEACDCAEBDBDACD;ABABCBABDECDEDAADABDBDCDCCACCBECADABCEDBACAEB;BDCDABCCDBCBCBDBDEACAECAECDEEBACDCDECBEBDCAEC;0;DBEABDABDCACDBECDDDBCAAABBACCCADEBECCCEDAEEED;ACEEABAADCDAADEABCDABCDCABCBDADEBAECABADBCDAE;DBABBAEBAAAACDACDEDAACADBADBCCEACCCEAAECBBEBCACEED;BCCDEEABCBEDCEABBEBDABDDADDADECAADDCCBEBEABCC;1.0;160;180;160;140;200;840;B;B;B;B;5;B;A;B;C;A;A;B;B;B;A;B;A;B;C;A;A;C;B;B;B;1;1;610.3;1
